"match_id","season_year","tour_type","tour_type_human","date_timestamp","date_human","tournament","round","surface","surface_id","status","status_extra","home_name","away_name","home_id","away_id","home_rank","away_rank","home_points","away_points","winner_code","home_set_score","away_set_score","home_set_1_score","away_set_1_score","home_set_2_score","away_set_2_score","home_set_3_score","away_set_3_score","home_set_4_score","away_set_4_score","home_set_5_score","away_set_5_score","home_odds_match_winner","away_odds_match_winner","home_odds_first_set_winner","away_odds_first_set_winner","home_aces","away_aces","home_double_faults","away_double_faults","home_service_points_won_perc","away_service_points_won_perc","home_return_points_won_perc","away_return_points_won_perc","home_break_points_won_perc","away_break_points_won_perc","home_break_points_saved_perc","away_break_points_saved_perc"
"40171421",2022,3,"ATP Chall",1641129000,"02 Jan 2022","Forli Chall. Men - Qualification (indoor)","Qualifier","hard",1,"FINISHED","FINISHED","Niklas-Salminen P.","Sasikumar M.","539149","966030","","","","",2,0,2,3,6,4,6,"","","","","","",2.1,1.66,"","",7,5,6,0,56,75,25,44,50,100,0,50
"94679651",2022,3,"ATP Chall",1641129300,"02 Jan 2022","Tigre Chall. Men - Qualification","Qualifier","clay",2,"FINISHED","FINISHED","Gagliardo L.","Deckers A.","817086","810212","","","","",2,1,2,6,7,6,4,4,6,"","","","",1.9,1.8,"","",4,9,3,13,57,55,45,43,45,31,69,55
"57027432",2022,3,"ATP Chall",1641131100,"02 Jan 2022","Forli Chall. Men - Qualification (indoor)","Qualifier","hard",1,"FINISHED","FINISHED","Gigante M.","Simon T.","119633","850167","","","","",1,2,0,7,6,6,3,"","","","","","",2.25,1.57,"","",4,5,4,4,67,62,38,33,33,25,75,67
"65049765",2022,3,"ATP Chall",1641134100,"02 Jan 2022","Forli Chall. Men - Qualification (indoor)","Qualifier","hard",1,"FINISHED","FINISHED","Benchetrit E.","Bellucci M.","759099","928358","","","","",1,2,0,6,3,6,4,"","","","","","",1.57,2.25,"","",6,3,2,4,67,57,43,33,43,33,67,57
"95800084",2022,3,"ATP Chall",1641134400,"02 Jan 2022","Tigre Chall. Men - Qualification","Qualifier","clay",2,"FINISHED","FINISHED","Lopez Linquet L.","Dellien Velasco M. A.","739682","990451","","","","",2,0,2,4,6,1,6,"","","","","","",4.33,1.2,"","",0,2,3,5,43,62,38,57,33,100,0,67
"61149581",2022,3,"ATP Chall",1641134700,"02 Jan 2022","Tigre Chall. Men - Qualification","Qualifier","clay",2,"FINISHED","FINISHED","Ratti L.","Aboian L.","875761","716200","","","","",2,0,2,2,6,1,6,"","","","","","",8,1.06,"","",0,3,5,1,45,77,23,55,0,80,20,100
"50417353",2022,3,"ATP Chall",1641136800,"02 Jan 2022","Forli Chall. Men - Qualification (indoor)","Qualifier","hard",1,"FINISHED","FINISHED","Carpano C.","Lazarov A.","143253","783429","","","","",2,0,2,1,6,1,6,"","","","","","","","","","",0,3,4,1,38,76,24,63,0,50,50,0
"93354288",2022,3,"ATP Chall",1641139800,"02 Jan 2022","Tigre Chall. Men - Qualification","Qualifier","clay",2,"FINISHED","FINISHED","Carou I.","Carraro L.","611958","495166","","","","",1,2,0,6,2,6,4,"","","","","","",1.4,2.75,"","",1,1,2,4,70,48,52,30,50,100,0,50
"93766827",2022,3,"ATP Chall",1641139800,"02 Jan 2022","Tigre Chall. Men - Qualification","Qualifier","clay",2,"FINISHED","WALKOVER","Eli N.","Hoyos Franco A.","872785","216233","","","","",1,"","","","","","","","","","","","",8,1.06,"","","","","","","","","","","","","",""
"88758948",2022,3,"ATP Chall",1641140100,"02 Jan 2022","Forli Chall. Men - Qualification (indoor)","Qualifier","hard",1,"FINISHED","FINISHED","Andreev A.","Manafov V.","598150","378647","","","","",1,2,0,6,3,6,2,"","","","","","","","","","",12,5,1,6,78,53,47,22,33,0,0,67
"86986975",2022,3,"ATP Chall",1641140700,"02 Jan 2022","Forli Chall. Men - Qualification (indoor)","Qualifier","hard",1,"FINISHED","FINISHED","Ejupovic E.","Bortolotti M.","611449","529443","","","","",1,2,0,6,3,6,2,"","","","","","",1.2,4.33,"","",3,2,0,1,76,58,42,24,75,0,100,25
"39650809",2022,3,"ATP Chall",1641145200,"02 Jan 2022","Forli Chall. Men - Qualification (indoor)","Qualifier","hard",1,"FINISHED","FINISHED","Echargui M.","Yevseyev D.","284423","717538","","","","",2,0,2,5,7,1,6,"","","","","","","","","","",0,1,5,1,59,70,30,41,0,38,63,100
"55319748",2022,3,"ATP Chall",1641164700,"02 Jan 2022","Traralgon Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Guinard M.","Schoolkate T.","109598","429614",243,623,255,46,1,2,0,7,6,7,6,"","","","","","",1.36,3,1.4,2.75,13,4,3,5,68,60,40,32,33,100,0,67
"33909055",2022,3,"ATP Chall",1641164700,"02 Jan 2022","Traralgon Chall. Men","1/32-finals","hard",1,"FINISHED","FINISHED","Puttergill C.","Ellis B.","774933","481579",883,898,17,17,2,1,2,1,6,6,2,3,6,"","","","",2.75,1.4,2.62,1.44,5,12,5,1,60,70,30,40,67,50,50,33
"32763280",2022,1,"ATP Tour",1641164700,"02 Jan 2022","ATP Cup ATP","","hard",1,"FINISHED","FINISHED","Majchrzak K.","Bakshi A.","802840","360182",117,974,633,13,1,2,0,6,1,6,1,"","","","","","",1.02,11,1.05,8.5,1,0,2,6,68,42,58,32,50,50,50,50
